Patient Name: maniqui, cuba
Patient ID: Test0001CUBA
Plan: Plan2
Course: C2
Date: martes, 11 de abril de 2023 8:05:46
Exported by: Rodriguez Rodriguez.Cesar

Start: (-0.13, -9.00, -0.10)
End:   (-0.02, 9.00, -0.10)

	Field 1
0.000000	3.980609
0.025030	4.437008
0.050059	4.658314
0.075089	4.757606
0.100119	4.856881
0.125148	4.956141
0.150178	5.055386
0.175208	5.154614
0.200237	5.253827
0.225267	5.353024
0.250297	5.452205
0.275326	5.551370
0.300356	5.611273
0.325386	5.651834
0.350415	5.692378
0.375445	5.732903
0.400475	5.773410
0.425504	5.813898
0.450534	5.854368
0.475564	5.894820
0.500593	5.935253
0.525623	5.975668
0.550653	5.998918
0.575682	6.014153
0.600712	6.029376
0.625742	6.044589
0.650771	6.059790
0.675801	6.074981
0.700831	6.090161
0.725860	6.105329
0.750890	6.120487
0.775920	6.135634
0.800949	6.142883
0.825979	6.146639
0.851009	6.150390
0.876038	6.154135
0.901068	6.157874
0.926098	6.161607
0.951127	6.165334
0.976157	6.169056
1.001187	6.172771
1.026216	6.176481
1.051246	6.176205
1.076276	6.174260
1.101306	6.172313
1.126335	6.170362
1.151365	6.168408
1.176395	6.166452
1.201424	6.164492
1.226454	6.162529
1.251484	6.160563
1.276513	6.158594
1.301543	6.154624
1.326573	6.149862
1.351602	6.145098
1.376632	6.140332
1.401662	6.135564
1.426691	6.130794
1.451721	6.126022
1.476751	6.121248
1.501780	6.116473
1.526810	6.111695
1.551840	6.105308
1.576869	6.098322
1.601899	6.091335
1.626929	6.084346
1.651958	6.077356
1.676988	6.070364
1.702018	6.063372
1.727047	6.056378
1.752077	6.049383
1.777107	6.042387
1.802136	6.035256
1.827166	6.028078
1.852196	6.020900
1.877225	6.013721
1.902255	6.006541
1.927285	5.999360
1.952314	5.992178
1.977344	5.984996
2.002374	5.977813
2.027403	5.970629
2.052433	5.963017
2.077463	5.955262
2.102492	5.947508
2.127522	5.939753
2.152552	5.931997
2.177581	5.924241
2.202611	5.916485
2.227641	5.908729
2.252670	5.900971
2.277700	5.893214
2.302730	5.885079
2.327759	5.876828
2.352789	5.868576
2.377819	5.860324
2.402848	5.852072
2.427878	5.843820
2.452908	5.835567
2.477937	5.827315
2.502967	5.819062
2.527997	5.810808
2.553026	5.802428
2.578056	5.794010
2.603086	5.785592
2.628115	5.777173
2.653145	5.768755
2.678175	5.760336
2.703204	5.751917
2.728234	5.743498
2.753264	5.735078
2.778293	5.726659
2.803323	5.718556
2.828353	5.710539
2.853382	5.702522
2.878412	5.694505
2.903442	5.686488
2.928471	5.678470
2.953501	5.670453
2.978531	5.662435
3.003560	5.654418
3.028590	5.646400
3.053620	5.638346
3.078649	5.630283
3.103679	5.622220
3.128709	5.614157
3.153738	5.606094
3.178768	5.598030
3.203798	5.589967
3.228828	5.581903
3.253857	5.573839
3.278887	5.565775
3.303917	5.557565
3.328946	5.549321
3.353976	5.541077
3.379006	5.532833
3.404035	5.524588
3.429065	5.516344
3.454095	5.508099
3.479124	5.499855
3.504154	5.491610
3.529184	5.483366
3.554213	5.474901
3.579243	5.466388
3.604273	5.457876
3.629302	5.449363
3.654332	5.440851
3.679362	5.432338
3.704391	5.423826
3.729421	5.415313
3.754451	5.406800
3.779480	5.398288
3.804510	5.390148
3.829540	5.382082
3.854569	5.374016
3.879599	5.365951
3.904629	5.357885
3.929658	5.349819
3.954688	5.341753
3.979718	5.333687
4.004747	5.325621
4.029777	5.317555
4.054807	5.309765
4.079836	5.302024
4.104866	5.294284
4.129896	5.286543
4.154925	5.278803
4.179955	5.271063
4.204985	5.263322
4.230014	5.255582
4.255044	5.247841
4.280074	5.240101
4.305103	5.232257
4.330133	5.224395
4.355163	5.216534
4.380192	5.208673
4.405222	5.200811
4.430252	5.192950
4.455281	5.185089
4.480311	5.177227
4.505341	5.169366
4.530370	5.161505
4.555400	5.153523
4.580430	5.145524
4.605459	5.137525
4.630489	5.129526
4.655519	5.121528
4.680548	5.113529
4.705578	5.105530
4.730608	5.097532
4.755637	5.089533
4.780667	5.081535
4.805697	5.074105
4.830726	5.066752
4.855756	5.059399
4.880786	5.052046
4.905815	5.044694
4.930845	5.037341
4.955875	5.029988
4.980904	5.022636
5.005934	5.015283
5.030964	5.007931
5.055993	5.000920
5.081023	4.993950
5.106053	4.986981
5.131082	4.980011
5.156112	4.973042
5.181142	4.966072
5.206171	4.959102
5.231201	4.952133
5.256231	4.945163
5.281260	4.938194
5.306290	4.931210
5.331320	4.924226
5.356350	4.917242
5.381379	4.910258
5.406409	4.903274
5.431439	4.896290
5.456468	4.889307
5.481498	4.882324
